id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,kategori_pendidikan,jumlah,satuan,tahun
32132018,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,SD,4,KORBAN,2018
32132018,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,SLTP,3,KORBAN,2018
32132018,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,SLTA,2,KORBAN,2018
32132018,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,"PERGURUAN 
TINGGI",0,KORBAN,2018
32132018,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,TK,0,KORBAN,2018
32132018,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,PAUD,0,KORBAN,2018
32132018,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,NA,0,KORBAN,2018
32132018,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,"TIDAK 
SEKOLAH",0,KORBAN,2018
32132018,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,SD,7,KORBAN,2018
32132018,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,SLTP,11,KORBAN,2018
32132018,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,SLTA,19,KORBAN,2018
32132018,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,"PERGURUAN 
TINGGI",1,KORBAN,2018
32132018,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,TK,2,KORBAN,2018
32132018,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,PAUD,0,KORBAN,2018
32142018,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,NA,1,KORBAN,2018
32142018,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,"TIDAK 
SEKOLAH",0,KORBAN,2018
32142018,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,SD,0,KORBAN,2018
32142018,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,SLTP,0,KORBAN,2018
32142018,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,SLTA,2,KORBAN,2018
